feedback_id,feedback_date,source,product_area,product_name,rating_score,sentiment_score,nps_score,linked_case_id,verbatim_text
FB000001,2025-07-17,Play Store Review,Doorbell & Entry,Jonly Doorbell Pro,4,0.74,,JNL001236,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000002,2025-05-10,Community,Account & Billing,Jonly Secure Subscription,1,-0.19,5.0,,Still having issues with the Account & Billing despite multiple contacts with Jonly support.
FB000003,2025-06-13,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,1,-1.0,5.0,,Still having issues with the Floodlight & Outdoor despite multiple contacts with Jonly support.
FB000004,2025-06-06,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,3,0.32,9.0,JNL000476,The overall Jonly experience is okay but there is room for improvement in the Subscription & Cloud.
FB000005,2025-05-18,Social,Doorbell & Entry,Jonly Doorbell Pro,3,-0.28,9.0,JNL003553,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000006,2025-07-02,In-App Survey,Setup & Onboarding,Jonly Secure Subscription,1,-0.38,7.0,JNL000744,My Jonly Secure Subscription from Jonly keeps going offline and support hasn’t fully resolved it.
FB000007,2025-06-07,Play Store Review,Mobile App,Jonly Doorbell Pro,3,-0.88,,JNL004633,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000008,2025-07-04,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,2,-0.24,7.0,,Still having issues with the Floodlight & Outdoor despite multiple contacts with Jonly support.
FB000009,2025-06-25,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,5,0.68,5.0,JNL003250,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000010,2025-05-06,Retailer Review,Account & Billing,Jonly Doorbell Pro,5,1.0,,,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000011,2025-06-12,Post-Contact Survey,Account & Billing,Jonly Hub Plus,3,0.39,10.0,JNL001091,"Mixed feelings about my Jonly Hub Plus so far, some features are good and some are frustrating."
FB000012,2025-07-23,Community,Setup & Onboarding,Jonly Hub Mini,5,1.0,7.0,JNL004430,"Very happy with my Jonly Hub Mini from Jonly, everything works smoothly."
FB000013,2025-06-13,App Store Review,Doorbell & Entry,Jonly Doorbell Pro,5,0.6,,JNL004590,The Doorbell & Entry experience is much better after the latest update.
FB000014,2025-06-20,In-App Survey,Mobile App,Jonly Hub Mini,3,0.53,7.0,JNL004680,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000015,2025-05-28,Social,Account & Billing,Jonly Cam Indoor,5,0.57,7.0,JNL004488,"Very happy with my Jonly Cam Indoor from Jonly, everything works smoothly."
FB000016,2025-05-28,Social,Mobile App,Jonly Hub Mini,1,-0.58,7.0,JNL005071,The Jonly app is slow and keeps freezing when I check live view on my Jonly Hub Mini.
FB000017,2025-07-27,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,5,1.0,,JNL004356,The video quality on my Jonly Floodlight Max is excellent and notifications are reliable.
FB000018,2025-05-26,Play Store Review,Camera Hardware,Jonly Cam Indoor,4,0.49,,,The video quality on my Jonly Cam Indoor is excellent and notifications are reliable.
FB000019,2025-07-06,Post-Contact Survey,Camera Hardware,Jonly Cam Outdoor,3,0.53,9.0,JNL003713,"Mixed feelings about my Jonly Cam Outdoor so far, some features are good and some are frustrating."
FB000020,2025-06-14,App Store Review,Account & Billing,Jonly Cam Indoor,1,-1.0,,JNL001473,The Jonly app is slow and keeps freezing when I check live view on my Jonly Cam Indoor.
